"album"|"album_url"
"Uncontrolled Dreams of Exploding Skies"|"https://is4-ssl.mzstatic.com/image/thumb/Music71/v4/95/17/eb/9517eb41-7342-d406-9965-d247dc225055/source/512x512.jpg"
"Trillando la fina"|"https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/9a/bc/f2/9abcf237-7309-725d-d808-871db674fef8/source/512x512.jpg"
"Mundo Guanaco"|"https://is2-ssl.mzstatic.com/image/thumb/Music7/v4/7c/73/92/7c739277-8c9c-a2e0-64f4-ec843c01e147/source/512x512.jpg"
"Ultimando"|"https://is3-ssl.mzstatic.com/image/thumb/Music7/v4/9b/95/5e/9b955e0c-3b9c-dd8e-9352-213b810d64be/source/512x512.jpg"
"Toro y Pampa"|"https://is4-ssl.mzstatic.com/image/thumb/Music4/v4/03/bc/f2/03bcf2b7-32dc-c463-cbf9-0e242e7521a7/source/512x512.jpg"
"Profeta en Su Tierra"|"https://is5-ssl.mzstatic.com/image/thumb/Music1/v4/04/fc/7e/04fc7e9c-b232-b680-1c98-31cd07276eca/source/512x512.jpg"
"World of Warcraft: Taverns of Azeroth (Original Game Soundtrack)"|"https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f5/fc/94/f5fc944e-4de2-2d09-6afa-d9294d9c4432/source/512x512.jpg"
"Abuso De Poder"|"https://is1-ssl.mzstatic.com/image/thumb/Music/v4/17/d5/9c/17d59c15-4f72-0f08-164f-229ee8f0375d/source/512x512.jpg"
"Barilari 4"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/15/9b/61/159b61e6-09e7-2f27-0c89-0dc0c480191d/source/512x512.jpg"
"Canciones Doradas"|"https://is5-ssl.mzstatic.com/image/thumb/Music127/v4/9e/78/ae/9e78ae78-5874-420b-a8dc-0777e869e95d/source/512x512.jpg"
"Humanity"|"https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/80/74/11/807411df-0750-1afa-6eb9-a85b5fc6909b/source/512x512.jpg"
"Existence"|"https://is4-ssl.mzstatic.com/image/thumb/Music111/v4/b1/d3/4f/b1d34f36-1244-5591-7c4b-4329a42c2466/source/512x512.jpg"
"Wizard (Live)"|"https://is4-ssl.mzstatic.com/image/thumb/Music30/v4/dd/9b/ca/dd9bca6b-5873-f346-6828-6b792b40f9b2/source/512x512.jpg"
"Beyond Space Without Limits"|"https://is4-ssl.mzstatic.com/image/thumb/Music62/v4/20/43/56/204356de-9755-4851-d1a3-5db6f32c1868/source/512x512.jpg"
"Darkmind"|"https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/0b/a9/12/0ba912ad-f758-4076-3c04-06b0803709be/source/512x512.jpg"
"Betrayer"|"https://is2-ssl.mzstatic.com/image/thumb/Music5/v4/0d/ee/ad/0deeadf6-67da-8522-74a7-6709f1ec5912/source/512x512.jpg"
"Rusted Icons"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/00/a6/2f/00a62fe8-4690-9a81-dda3-03809d3d9966/source/512x512.jpg"
"Shadowed Force"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/8c/9b/53/8c9b5376-089a-58ef-f9d0-767cb53b868f/source/512x512.jpg"
"Belial Arisen"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/77/1b/75/771b75f0-042c-52c4-3ce1-dbc5d16293e6/source/512x512.jpg"
"Waters of Weeping"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/97/2b/86/972b8653-7b2c-d1fd-bed8-0000c67b354f/source/512x512.jpg"
"Ordog"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/a1/51/ec/a151eca1-6ecb-eb9a-fb3e-315ba5ff64f3/source/512x512.jpg"
"Empire of Blood"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/46/b5/8f/46b58f5e-06da-856a-9161-29bd59b60a13/source/512x512.jpg"
"Vukolak"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/83/89/4f/83894fa3-536e-de6c-c994-f75b752b81b0/source/512x512.jpg"
"Az-i-Dahak"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/87/e9/2a/87e92a48-4084-d42d-320d-4de915a480af/source/512x512.jpg"
"The Spiral Blackhole"|"https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/0d/4a/d3/0d4ad3cd-bfd9-6b0a-b4d3-1fa1852d74e8/source/512x512.jpg"
"Leaves of Blood"|"https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/b2/14/c3/b214c331-fc5d-c2b3-d38c-627cb611162d/source/512x512.jpg"
"A Feast For Crows"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/34/5c/57/345c570b-90a2-d983-7d4b-5528f96da898/source/512x512.jpg"
"The Darker Shades of White"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/f1/92/b3/f192b373-3df4-3a87-4c2b-579a5ca13501/source/512x512.jpg"
"Time Does Not Heal"|"https://is1-ssl.mzstatic.com/image/thumb/Music7/v4/a6/73/f7/a673f7d7-d76f-6a45-43c6-2a84add2d6ba/source/512x512.jpg"
"Darkness Descends"|"https://is1-ssl.mzstatic.com/image/thumb/Music7/v4/eb/77/d3/eb77d36a-e6f8-3887-477e-ca0a10e98eb6/source/512x512.jpg"
"Leave Scars"|"https://is2-ssl.mzstatic.com/image/thumb/Music7/v4/de/26/51/de265113-48bf-53d6-5d18-90e90ad2accf/source/512x512.jpg"
"Ente"|"https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/b3/44/c4/b344c45f-2f5b-f6a7-1007-7ac6f6cd6d1f/source/512x512.jpg"
"Forever In Leather"|"https://is1-ssl.mzstatic.com/image/thumb/Music/v4/dd/2b/2d/dd2b2db5-13bb-7116-4393-69844b188c14/source/512x512.jpg"
"Maximum Destruction"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/c9/4e/86/c94e863c-4820-111c-8fc3-850ec88d9e4a/source/512x512.jpg"
"Sonic Bullet"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/7f/47/f3/7f47f339-cd55-c67c-820a-44a18ba7334f/source/512x512.jpg"
"We Are Ready (Demo)"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/e8/44/71/e844713e-a80e-2b58-96e7-343caf1c6307/source/512x512.jpg"
"Power Aggression (Demo '88)"|"https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/b8/97/ba/b897bac0-74d1-70aa-3278-773c5db5530e/source/512x512.jpg"
"Decibel Casualties"|"https://is5-ssl.mzstatic.com/image/thumb/Music117/v4/db/08/e7/db08e746-4351-3bad-3c8b-ee45ebcc187d/source/512x512.jpg"
"Back in Bondage"|"https://is5-ssl.mzstatic.com/image/thumb/Music69/v4/fd/aa/9e/fdaa9e40-1bdd-9c0b-fa45-afe6c5df98d0/source/512x512.jpg"
"Alma Irae"|"https://is4-ssl.mzstatic.com/image/thumb/Music113/v4/8a/b6/d4/8ab6d487-a353-11d1-a586-442632795a34/source/512x512.jpg"
"Domine"|"https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/39/9c/54/399c54e7-21dc-063e-144f-bb661c1431ed/source/512x512.jpg"
"Unleash the Magic"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/02/db/e2/02dbe2fb-c100-c59e-1830-79a21f67d315/source/512x512.jpg"
"Error"|"https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/6c/e0/51/6ce0510d-481c-3e8f-5092-0d36688c754f/source/512x512.jpg"
"Not for Music"|"https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/8d/f8/ab/8df8abee-f5c0-0a20-1bd9-b3b18871e6ee/source/512x512.jpg"
"Oblivion"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/9d/d3/93/9dd393dc-d1d7-018a-06f9-eb15e109edad/source/512x512.jpg"
"Nothing But the Whole"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/cc/c4/18/ccc41879-5d5d-7b6d-04ba-39feea08c0a3/source/512x512.jpg"
"Hidden Memories"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/4d/20/f7/4d20f731-04dd-a1d7-4362-33dc8ccea50a/source/512x512.jpg"
"The Facts"|"https://is3-ssl.mzstatic.com/image/thumb/Music2/v4/c8/31/cf/c831cfe8-bdd6-7eb8-a3b2-4b9cf10539a3/source/512x512.jpg"
"Absence"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/a5/e6/9f/a5e69fdc-0850-589a-499d-cbba72e43f41/source/512x512.jpg"
"Int‚rpretes"|"https://is2-ssl.mzstatic.com/image/thumb/Music6/v4/d6/46/68/d646680a-461a-529c-35fc-c1407be43787/source/512x512.jpg"
"Acido Argentino"|"https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/94/64/12/9464125d-01e4-00f1-fa3b-be04dddab9fa/source/512x512.jpg"
"Victimas del Vaciamiento"|"https://is5-ssl.mzstatic.com/image/thumb/Music6/v4/1d/e0/5a/1de05a14-2274-22ed-c1de-61da0cdc5c7a/source/512x512.jpg"
"Vlad the Impaler (feat. Trond Holter)"|"https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/c7/b1/1e/c7b11ecf-ac8d-3526-5380-c4b054da063f/source/512x512.jpg"
"Eternos Tema X Tema"|"https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/1f/60/4f/1f604f8b-1004-5ea7-b61d-485957ab7d0f/source/512x512.jpg"
"Oid Mortales el Grito Sangrado"|"https://is1-ssl.mzstatic.com/image/thumb/Music22/v4/28/5f/18/285f1832-a06d-731c-d75a-98b23e5a7488/source/512x512.jpg"
"Reviviendo Huestes"|"https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/c3/cd/d8/c3cdd8f8-5cee-ea62-2ac2-3eddc619c9e0/source/512x512.jpg"
"Asesino"|"https://is3-ssl.mzstatic.com/image/thumb/Music4/v4/05/4b/c3/054bc33f-39ba-2a54-5f44-dbd45172e6b8/source/512x512.jpg"
"Reinara la Tempestad"|"https://is5-ssl.mzstatic.com/image/thumb/Music71/v4/79/2d/8e/792d8e57-fc88-106e-52c0-e51c2a2ead25/source/512x512.jpg"
"Evolution: Begins In Chaos"|"https://is1-ssl.mzstatic.com/image/thumb/Music/v4/08/1a/03/081a0397-78e8-f1ee-5f01-05a815f0f451/source/512x512.jpg"
"Synthesis (Oscillating Through Waves of Symmetry)"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/46/4a/24/464a2418-4c6f-342a-cd65-fc8f2daff996/source/512x512.jpg"
"Inquisici¢n, inquisici¢n"|"https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/25/f4/bf/25f4bf4e-a97e-370d-1db1-6d60f432fda0/source/512x512.jpg"
"Interceptor"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/3b/47/9a/3b479aa1-e389-1002-1bac-12763f6518bf/source/512x512.jpg"
"Into Salvation"|"https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/b6/57/72/b6577229-b95c-1c98-f619-5e2c51d1bea8/source/512x512.jpg"
"La Hoguera"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/67/77/e1/6777e16e-6b20-a481-c71e-c5c377793467/source/512x512.jpg"
"Sons of Chaos"|"https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/39/cf/e5/39cfe598-1503-c413-30f2-3ce1c408bcbb/source/512x512.jpg"
