"album"|"alt_genre"
"Trillando la fina"|"Speed Metal"
"Mundo Guanaco"|"Speed Metal"
"Ultimando"|"Speed Metal"
"Toro y Pampa"|"Speed Metal"
"Profeta en Su Tierra"|"Speed Metal"
"Abuso De Poder"|"Power Metal"
"Barilari 4"|"Power Metal"
"Canciones Doradas"|"Power Metal"
"Betrayer"|"Death"
"Rusted Icons"|"Death"
"Shadowed Force"|"Death"
"Belial Arisen"|"Heavy Metal"
"Waters of Weeping"|"Heavy Metal"
"Ordog"|"Heavy Metal"
"Empire of Blood"|"Heavy Metal"
"Vukolak"|"Heavy Metal"
"Az-i-Dahak"|"Heavy Metal"
"The Spiral Blackhole"|"Thrash Metal"
"Forever In Leather"|"Hard Rock"
"Maximum Destruction"|"Hard Rock"
"Sonic Bullet"|"Hard Rock"
"We Are Ready (Demo)"|"Hard Rock"
"Power Aggression (Demo '88)"|"Hard Rock"
"Decibel Casualties"|"Hard Rock"
"Back in Bondage"|"Hard Rock"
"Alma Irae"|"Power Metal"
"Domine"|"Power Metal"
"Error"|"Gothic Metal"
"Not for Music"|"Gothic Metal"
"Oblivion"|"Gothic Metal"
"Nothing But the Whole"|"Gothic Metal"
"Vlad the Impaler (feat. Trond Holter)"|"Heavy Metal"
"Eternos Tema X Tema"|"Thrash Metal"
"Oid Mortales el Grito Sangrado"|"Thrash Metal"
"Reviviendo Huestes"|"Thrash Metal"
"Asesino"|"Thrash Metal"
"Reinara la Tempestad"|"Thrash Metal"
"Evolution: Begins In Chaos"|"Metalcore"
"Synthesis (Oscillating Through Waves of Symmetry)"|"Metalcore"
"Into Salvation"|"Opera Metal"
"La Hoguera"|"Thrash Metal"
"Sons of Chaos"|"Folk"
"Justicia o Resistencia (Remasterizado)"|"Groove Metal"
"Esp¡ritu Combativo"|"Groove Metal"
"Desde las tinieblas"|"Death Metal"
"Choir of Horrors"|"Death"
"Extreme Cold Weather"|"Death"
"Corpsophagia"|"Death Metal"
"Tormenta El‚ctrica"|"Power Metal"
"VII"|"Power Metal"
"The forgotten Kingdom"|"Power Metal"
"La Llave de la Puerta Secreta"|"Power Metal"
"El Camino del Fuego"|"Power Metal"
"El Libro Oculto - EP"|"Power Metal"
"Guerrero del Arco Iris"|"Power Metal"
"XX Aniversario en Vivo - Magos, Espadas y Rosas"|"Power Metal"
"Entre El Cielo Y El Infierno"|"Power Metal"
"El Reino Olvidado"|"Power Metal"
"A Moment of Silence"|"Thrash Metal"
"Collective Demise"|"Thrash Metal"
"Necessary Evil"|"Thrash Metal"
"The Clans Have United"|"Celtic Folk Metal"
"Gathering the Clans"|"Celtic Folk Metal"
"Beheading the Liars"|"Celtic Folk Metal"
"Into the Battleground"|"Celtic Folk Metal"
"The Highland Way"|"Celtic Folk Metal"
"Worship of the Gods"|"Folk Metal"
"For One Pagan Brotherhood"|"Folk Metal"
"The Power & the Will"|"Power Metal"
"Rising from Within"|"Power Metal"
"Ripe for Rebellion (2019 Remastered)"|"Power Metal"
"Wicked Charm"|"Gothic Metal"
