"name"|"country"
"Alldrig"|"Argentina"
"Almafuerte"|"Argentina"
"Azeroth"|"Argentina"
"Barilari"|"Argentina"
"Beto Vazquez Infinity"|"Argentina"
"Betrayer"|"Argentina"
"Black Funeral"|"Argentina"
"Burden Rage"|"Argentina"
"Cernunnos"|"Argentina"
"Corpus Christi"|"Argentina"
"Dark Angel"|"Argentina"
"Descarnado"|"Argentina"
"Destructor"|"Argentina"
"Dragonfly"|"Argentina"
"Elixir"|"Argentina"
"Emptiness"|"Argentina"
"Escapist"|"Argentina"
"Fughu"|"Argentina"
"Hermetica"|"Argentina"
"Holter"|"Argentina"
"Horcas"|"Argentina"
"In Element"|"Argentina"
"Inquisicion"|"Argentina"
"Interceptor"|"Argentina"
"Kapel Maister"|"Argentina"
"La Hoguera"|"Argentina"
"Lex Talion"|"Argentina"
"Logos"|"Argentina"
"Mal¢n"|"Argentina"
"Mastifal"|"Argentina"
"Messiah"|"Argentina"
"Mortem"|"Argentina"
"Mortuorial Eclipse"|"Argentina"
"Noctem Aeternus"|"Argentina"
"Rata Blanca"|"Argentina"
"Salem"|"Argentina"
"Samson"|"Argentina"
"Serpentor"|"Argentina"
"Skiltron"|"Argentina"
"Tersivel"|"Argentina"
"Trance"|"Argentina"
"Triddana"|"Argentina"
"V8"|"Argentina"
"Vampiria"|"Argentina"
"Viuda Negra"|"Argentina"
"Vorgrum"|"Argentina"
"A Breach Of Silence"|"Australia"
"Adamus Exul"|"Australia"
"Advent Sorrow"|"Australia"
"Aeternitas"|"Australia"
"Alarum"|"Australia"
"Antonamasia"|"Australia"
"Aquilus"|"Australia"
"Astriaal"|"Australia"
"Austere"|"Australia"
"Bane Of Winterstorm"|"Australia"
"Be'Lakor"|"Australia"
"Berserkerfox"|"Australia"
"Bestial Warlust"|"Australia"
"Beyond Terror Beyond Grace"|"Australia"
"Blood Duster"|"Australia"
"Boris The Blade"|"Australia"
"Caligula'S Horse"|"Australia"
"Century"|"Australia"
"Chaos Divine"|"Australia"
"Chronolyth"|"Australia"
"Crimsonfire"|"Australia"
"Cryptal Darkness"|"Australia"
"Dark Order"|"Australia"
"Darker Half"|"Australia"
"Daysend"|"Australia"
"Devolved"|"Australia"
"Disembowelment"|"Australia"
"Divine Ascension"|"Australia"
"Down Royale"|"Australia"
"Dragonsclaw"|"Australia"
"Draxsen"|"Australia"
"Elegeion"|"Australia"
"Elysian"|"Australia"
"Ennui Breathes Malice"|"Australia"
"Eucharist"|"Australia"
"Eye Of The Enemy"|"Australia"
"Eyefear"|"Australia"
"Fair Warning"|"Australia"
"Feed Her To The Sharks"|"Australia"
"Filth"|"Australia"
"Frankenbok"|"Australia"
"Frown"|"Australia"
"Funeral Mourning"|"Australia"
"Gospel Of The Horns"|"Australia"
"Hadal Maw"|"Australia"
"Harvest"|"Australia"
"Hemina"|"Australia"
"Hexx"|"Australia"
"Hiroshima Will Burn"|"Australia"
"Hobbs' Angel Of Death"|"Australia"
"Horde"|"Australia"
"I Exist"|"Australia"
"I Shall Devour"|"Australia"
"Ilium"|"Australia"
"In The Burial"|"Australia"
"King Parrot"|"Australia"
"Lizzard Wizzard"|"Australia"
"Make Them Suffer"|"Australia"
"Mammoth Mammoth"|"Australia"
"Marshall Law"|"Australia"
"Metanoia"|"Australia"
"Midnight Odyssey"|"Australia"
"Moon"|"Australia"
"Mournful Congregation"|"Australia"
"Muspelheim"|"Australia"
"Myridian"|"Australia"
"Nazxul"|"Australia"
"Ne Obliviscaris"|"Australia"
"Omen"|"Australia"
"Ouroboros"|"Australia"
"Pain"|"Australia"
"Paradise In Exile"|"Australia"
"Pergamum"|"Australia"
"Plague Bearer"|"Australia"
"Psycroptic"|"Australia"
"Red Descending"|"Australia"
"Resist The Thought"|"Australia"
"Rise Of Avernus"|"Australia"
"State Of East London"|"Australia"
"Strident"|"Australia"
"Synthetic Breed"|"Australia"
"Tarot"|"Australia"
"Teramaze"|"Australia"
"The Amenta"|"Australia"
"The Berzerker"|"Australia"
"The Furor"|"Australia"
"The Red Shore"|"Australia"
"Threshold"|"Australia"
"Thy Art Is Murder"|"Australia"
"Tria Mera"|"Australia"
"Troll"|"Australia"
"Truth Corroded"|"Australia"
"Universum"|"Australia"
"Vendetta"|"Australia"
"Virgin Black"|"Australia"
"Watchtower"|"Australia"
"Whoretopsy"|"Australia"
"Abigor"|"Austria"
"Ahnenstahl"|"Austria"
"Amestigon"|"Austria"
"Amortis"|"Austria"
"Angizia"|"Austria"
"Anomalie"|"Austria"
"Artas"|"Austria"
"As I Lay Dying"|"Austria"
"Azrael"|"Austria"
"Cadaverous Condition"|"Austria"
"Chaos Beyond"|"Austria"
"Collapse 7"|"Austria"
"Dargaard"|"Austria"
"Darkwell"|"Austria"
"Dead Soul Tribe"|"Austria"
"Die Verbannten Kinder Evas"|"Austria"
"Dignity"|"Austria"
"Disharmonic Orchestra"|"Austria"
"Dominion Iii"|"Austria"
"Dornenreich"|"Austria"
"Drescher"|"Austria"
"Edenbridge"|"Austria"
"Estatic Fear"|"Austria"
"Harakiri For The Sky"|"Austria"
"Harmanic"|"Austria"
"Hollenthon"|"Austria"
"Ice Ages"|"Austria"
"Illuminata"|"Austria"
"Jack Frost"|"Austria"
"Korovakill"|"Austria"
"Majesty"|"Austria"
"Mastic Scum"|"Austria"
"Memento Mori"|"Austria"
"Monument Of Misanthropy"|"Austria"
"Mortician"|"Austria"
"Pendragon"|"Austria"
"Pray For Pain"|"Austria"
"Pungent Stench"|"Austria"
"Savage"|"Austria"
"Sortout"|"Austria"
"Spearhead"|"Austria"
"Summoning"|"Austria"
"Sunterra"|"Austria"
"The Eternal"|"Austria"
"The Sorrow"|"Austria"
"Thirdmoon"|"Austria"
"Upon A Red Sky"|"Austria"
"Varg"|"Austria"
"Visceral Evisceration"|"Austria"
"Visions Of Atlantis"|"Austria"
"Wolfpack Unleashed"|"Austria"
"Woodtemple"|"Austria"
"Zombie Inc."|"Austria"
"Smouldering In Forgotten"|"Bahrain"
"Exalter"|"Bangladesh"
"Asguard"|"Belarus"
"Barrow"|"Belarus"
"Diathra"|"Belarus"
"Divided"|"Belarus"
"Extermination Dismemberment"|"Belarus"
"Gods Tower"|"Belarus"
"Infestum"|"Belarus"
"Irreversible Mechanism"|"Belarus"
"Katharsis"|"Belarus"
"Serdce"|"Belarus"
"Stormhold"|"Belarus"
"Vicious Crusade"|"Belarus"
"Aborted"|"Belgium"
"Acrimonious"|"Belgium"
"Adversus"|"Belgium"
"Agathocles"|"Belgium"
"Amenra"|"Belgium"
"Ancient Rites"|"Belgium"
"Angeli Di Pietra"|"Belgium"
"Bathsheba"|"Belgium"
"Carnation"|"Belgium"
"Carpathian"|"Belgium"
"Channel Zero"|"Belgium"
"Crimson Falls"|"Belgium"
"Death Dealer"|"Belgium"
"Emeth"|"Belgium"
"Epysode"|"Belgium"
"Essence"|"Belgium"
"Evil Invaders"|"Belgium"
