name;status
Alldrig;Active
Almafuerte;Active
Almafuerte;Active
Almafuerte;Active
Almafuerte;Active
Almafuerte;Active
Azeroth;Active
Barilari;Active
Barilari;Active
Barilari;Active
Beto Vazquez Infinity;Active
Beto Vazquez Infinity;Active
Beto Vazquez Infinity;Active
Beto Vazquez Infinity;Active
Beto Vazquez Infinity;Active
Betrayer;Active
Betrayer;Active
Betrayer;Active
Black Funeral;Split-up
Black Funeral;Split-up
Black Funeral;Split-up
Black Funeral;Split-up
Black Funeral;Split-up
Black Funeral;Split-up
Burden Rage;Active
Cernunnos;Active
Corpus Christi;Active
Corpus Christi;Active
Dark Angel;Split-up
Dark Angel;Split-up
Dark Angel;Split-up
Descarnado;Active
Destructor;Active
Destructor;Active
Destructor;Active
Destructor;Active
Destructor;Active
Destructor;Active
Destructor;Active
Dragonfly;Active
Dragonfly;Active
Elixir;Active
Emptiness;Active
Emptiness;Active
Emptiness;Active
Emptiness;Active
Escapist;Active
Fughu;Active
Fughu;Active
Hermetica;Split-up
Hermetica;Split-up
Hermetica;Split-up
Holter;Active
Horcas;Active
Horcas;Active
Horcas;Active
Horcas;Active
Horcas;Active
In Element;Active
In Element;Active
Inquisicion;Active
Interceptor;Active
Kapel Maister;Split-up
La Hoguera;Active
Lex Talion;Active
Logos;Split-up
Logos;Split-up
Mal¢n;Active
Mal¢n;Active
Mastifal;Active
Messiah;Active
Messiah;Active
Mortem;Active
Mortuorial Eclipse;Active
Noctem Aeternus;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Rata Blanca;Active
Salem;Active
Salem;Active
Salem;Active
Samson;Split-up
Samson;Split-up
Samson;Split-up
Samson;Split-up
Serpentor;Active
Serpentor;Active
Serpentor;Active
Serpentor;Active
Skiltron;Active
Skiltron;Active
Skiltron;Active
Skiltron;Active
Skiltron;Active
Tersivel;Active
Tersivel;Active
Trance;Active
Triddana;Active
Triddana;Active
Triddana;Active
V8;Split-up
Vampiria;Split-up
Vampiria;Split-up
Vampiria;Split-up
Viuda Negra;Split-up
Vorgrum;Active
A Breach Of Silence;Active
A Breach Of Silence;Active
A Breach Of Silence;Active
Adamus Exul;Active
